colm1;colm2
-1.07437;-0.76168
0.37527;1.26409
-1.29489;-0.24705
-1.31463;-0.10671
-1.18704;0.5776
1.22399;0.49419
-0.79336;-1.05544
-1.24147;-0.4522
0.66902;-1.13924
1.19788;-0.55864
1.22656;-0.49383
0.34437;-1.27733
1.2257;-0.49965
1.07239;-0.77669
0.47181;-1.2376
1.31948;-0.12367
1.19888;-0.5657
-0.05363;1.32552
1.05867;0.80004
-1.29405;-0.29302
-0.96276;0.9151
-0.27706;1.29963
-0.23906;-1.30643
1.18177;-0.60663
-1.22079;-0.52707
-1.27524;0.37932
-0.85457;-1.01986
0.83053;-1.03995
-0.22116;-1.31299
-1.12266;0.71662
0.40296;-1.27003
0.23361;-1.31212
1.25951;0.4393
-0.5074;-1.23302
1.27953;0.38023
1.32605;-0.15312
1.29647;0.32094
1.09916;0.75962
-1.33657;0.02907
1.29186;-0.34238
1.20138;-0.58675
1.33618;-0.05969
-1.22583;-0.53789
-1.33053;0.15165
-0.70881;-1.13667
-1.30786;0.29139
-0.98773;0.90632
0.15261;-1.33201
-1.04651;0.83928
0.58958;-1.20517
-1.23157;0.53457
1.31462;0.2759
-0.67163;-1.16285
-1.15956;0.6808
1.22335;0.55735
-0.92766;0.97484
1.31526;0.28189
0.20316;1.3308
1.12116;0.74527
-0.96338;0.94164
-0.65054;-1.17997
1.34418;-0.1027
-1.2499;0.50576
-0.86141;1.03841
-0.91454;0.99259
-0.87448;-1.0275
-1.2663;-0.46831
-1.10299;0.78088
-1.24109;0.53611
0.44785;-1.27496
-1.13449;-0.73616
-1.33069;-0.24616
1.01976;0.88972
-1.35396;-0.03769
1.34992;-0.10724
1.26301;-0.49027
-0.0206;-1.35538
1.30099;0.38257
-0.78307;-1.10721
1.24202;-0.54718
1.14068;-0.73605
-1.34616;-0.17569
0.33971;1.31606
0.23602;-1.33767
1.29824;-0.40228
1.18795;0.66169
1.31392;-0.35086
0.97157;0.95313
-1.20644;0.63219
0.83178;1.07844
1.35658;0.12357
-0.89125;1.03135
-0.30782;1.32824
1.14365;0.74347
0.71146;1.16462
-0.52955;-1.25765
-1.36196;-0.09434
0.44278;1.29297
-0.32838;1.32719
0.86279;1.061
-0.76808;1.1325
0.98047;0.95448
1.25424;0.54691
1.14758;-0.74538
-1.36322;0.13567
-1.26776;0.52037
0.41533;1.30607
-1.37099;0.01157
-0.42493;-1.30389
-1.35202;0.23249
0.21773;-1.35492
1.3681;0.11874
-1.36656;0.13453
0.27741;1.34648
-0.91072;-1.02863
-1.16995;-0.72167
0.61178;-1.23117
-1.02209;-0.92104
0.88893;-1.05016
-0.40838;-1.31474
1.27287;-0.52557
-0.25076;-1.355
-1.37086;0.14671
-0.89525;-1.04878
-1.37356;-0.12618
1.35417;0.26675
-0.91466;1.03409
1.38031;-0.05316
1.30376;-0.45709
-1.06037;0.88687
-1.36549;-0.21506
-0.24513;1.36191
-1.38053;-0.09325
-0.87201;-1.0745
-1.10297;-0.83683
-0.22477;1.36709
0.49686;-1.29299
-0.04298;1.38545
-1.37553;-0.1745
-1.27986;0.53487
-0.66435;1.21829
1.3674;0.24015
-0.96907;0.99457
-0.18894;-1.37547
-0.88334;1.07313
-0.41755;-1.32501
0.41842;1.32683
-0.49457;-1.29948
-0.48135;1.30641
1.39084;-0.04327
-0.98473;-0.98457
-0.4469;-1.31921
1.06199;0.90193
0.55767;1.2774
1.34618;0.36342
1.33409;0.40783
-0.16986;-1.38488
1.38062;0.20895
-0.90651;1.06254
-1.39639;0.02581
-1.36089;0.31793
-0.71524;1.20204
-1.394;-0.11271
-1.08433;0.88526
-1.06379;0.91065
-1.05969;0.91617
-1.40078;-0.02771
1.3299;-0.43903
-0.35186;-1.35665
0.16989;-1.39172
-1.24083;-0.65333
-1.17446;-0.76685
1.39334;0.17037
0.47131;-1.32218
-1.04581;-0.93662
-1.40468;-0.01844
1.05844;0.92554
1.40375;0.07994
0.61564;-1.26377
-0.45396;-1.33121
-0.51259;-1.3105
-1.3076;0.52411
1.19674;-0.7417
1.38572;0.25388
0.46493;-1.33066
-0.60566;1.27341
-1.0845;0.90194
-1.10642;0.87571
-1.38565;0.26783
1.11768;0.86383
1.13957;-0.83434
0.96663;-1.02995
1.18416;-0.77071
1.41349;-0.02711
-0.21162;-1.39808
0.99407;-1.00607
-1.08048;-0.91461
-1.39897;0.22156
-1.39998;-0.21716
-1.36923;-0.36513
-0.6089;-1.27993
1.38009;0.32605
0.92102;-1.07879
-0.19152;1.40659
0.52937;1.31771
-0.22005;1.40369
-0.87338;1.12106
-0.35466;-1.37505
0.96905;-1.0389
-1.41681;0.12638
-1.34303;-0.46955
1.33068;0.50318
0.1532;1.41555
1.34324;0.4718
1.01735;-0.99697
1.01132;-1.00402
0.47385;1.34461
0.63556;-1.27661
-1.02904;0.98789
-1.17549;0.80947
-0.36676;1.38026
1.42421;-0.10484
-0.98181;-1.03666
-0.37406;-1.3784
0.18194;-1.41703
-0.70804;1.24334
-1.02392;-0.99909
-0.04527;1.43055
-0.6544;1.27346
0.73606;-1.22823
-0.30168;1.40049
-0.03398;-1.43259
-0.23514;-1.41377
-1.27159;0.66278
-1.38425;-0.37442
0.96294;1.0647
1.24351;-0.71629
1.15337;0.85635
0.87887;1.13673
-1.19914;0.79329
-0.26832;1.41286
-1.20376;-0.78696
-1.43584;0.09636
-1.15049;-0.86476
0.55289;-1.32917
0.73584;1.23782
-0.84177;-1.16854
-0.63562;-1.29274
-1.2021;0.79563
-0.59167;-1.31425
-0.85799;1.16026
1.02199;1.0196
1.32629;-0.56868
-0.96943;1.07129
1.21153;0.78675
-1.37931;-0.43146
1.44051;0.11488
1.0197;1.0247
0.91882;1.11699
1.40748;0.33528
-0.45173;1.37512
-1.20339;-0.80483
-1.25358;-0.72478
1.44913;0.01842
0.98732;1.06219
-1.353;-0.52018
-0.74618;-1.24282
-1.45106;-0.02648
0.95389;-1.09279
-0.61404;1.31679
-1.45267;-0.03492
-0.51421;1.35941
1.43964;0.19812
-1.45173;-0.08368
-0.5955;-1.32688
1.40738;-0.3702
1.44528;-0.17477
0.22352;-1.4386
-1.32401;-0.60548
-0.05322;1.4568
0.36673;-1.40982
1.45743;0.0339
0.90587;1.14356
-1.42379;0.32114
1.45086;0.15426
1.42656;0.30877
0.35999;1.41566
1.43958;-0.24632
0.34258;1.42087
-1.00861;1.05827
-0.62398;1.32294
-0.0071;-1.46265
-1.46014;0.09541
1.44492;0.23808
-1.11127;0.95453
-1.40734;-0.40657
0.67815;1.3
-1.41758;-0.37388
0.59675;-1.33881
1.45723;-0.16425
-1.40711;0.41858
-0.93078;-1.13539
0.44213;1.40039
-0.90106;-1.16008
1.24339;-0.78324
1.12273;0.94945
-1.44765;-0.25507
-1.41135;-0.41302
0.25335;-1.44884
1.20177;0.85081
